1. 지번별 감정가 입력,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
지번일련번호,지번주소지,,,면적(평),평당감정가,감정가,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
기계기구,,,,,,,,,,,,,,
* 평당 감정가 역산,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1-1 지번별 평가, (1번 입력가액 가지고 연결),,,,,,,,,,,,,
지번일련번호,지번주소지,,,면적(평),평당감정가,감정가,1안,,2안,,,,,
,,,,,,,평당 평가액,평가액,평당 평가액,평가액,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2. 배분대상재원 안분 (해지부),,,,,,,,,,,,,,
구분,감정평가금액,당해시설 여부,1안배당가능재원(AK),2안배당가능재원(AL),1순위 근저당권,2순위 근저당권,3순위 근저당권,,,,,,,
토지,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,체크박스,체크박스,체크박스,,,,,,,
건물,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,체크박스,체크박스,체크박스,,,,,,,
기계,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,체크박스,체크박스,체크박스,,,,,,,
제시외,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,체크박스,체크박스,체크박스,,,,,,,
당해시설 (일부일경우 평가자입력),,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,체크박스,체크박스,체크박스,,,,,,,
Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2-1. 배분대상재원 안분 (타행기계기구),,,,,,,,,,,,,,
구분,감정평가금액,타행기계여부,1안배당가능재원(AK),2안배당가능재원(AL),,,,,,,,,,
토지,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,,,,,,,,,,
건물,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,,,,,,,,,,
기계,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,,,,,,,,,,
제시외,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,,,,,,,,,,
타행기계기구 (일부일경우 평가자입력),,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,,,,,,,,,,
Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3. 기계기구,,,,,,,,,,,,,,
번호,기계기구명,,,제조사,제작일자,수량,단가,감정가,공장저당1호,공장저당2호,공장저당3호,공장저당 4호,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
카톡 사진전송 기능,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4. 주택 선순위 임대차 확인,,,,,,,,,,,,,,
구분,면적,임차인,임차개시일,임차종료일,전입일,보증금,월세,소액보증금,선순위 보증금,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
합계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5. 상가 임대차,,,,,,,,,,,,,,
구분,면적,임차인,임차개시일,임차종료일,확정신고일,보증금,월세,소액보증금,선순위 보증금,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
합계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6. 수익가치,"입력정보 가져오기 (주택, 상가 입력된 정보)",,,,,,,,,,,,,
구분,면적,임차인,임차개시일,임차종료일,확정신고일,보증금,월세,연임대료,환원율,수익가치,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
합계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6-1 수익가치 민감도 분석,,,,,,,,,,,,,,
기본할인율,0.06,민감도 기준,0.005,,,,,,,,,,,
구분,0.05,0.055,0.06,0.065,0.07,,,,,,,,,
수익가치,,,,,,,,,,,,,,
평당가액,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7. 임금채권,,,,,,,,,,,,,,
순번,성명,생년월일,가압류일자,가압류금액,배당요구일자,배당요구액(체불내역),,,,반영금액,,,,비고
,,,,,,임금,퇴직금,기타,합계,3개월 임금,3년분 퇴직금,체당금지급액,합 계,
1,김00,680714,,,2025-04-23 00:00:00,,19539623,,19539623,,7099200,0,7099200,
2,라00,680109,,,2025-05-01 00:00:00,,35108309,,35108309,,12401910,0,12401910,
3,김00,700220,,,2025-05-22 00:00:00,,8869018,,8869018,,7234470,7000000,234470,
