https://etax.seoul.go.kr/index.html?20250911,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"주택분, 건축물, 토지 계산로직에 따라 계산",,,,,,,,,,
,,,,,,,,,,
주택>,,,주택구분,,,,,,,
,,,,,,,,,,
시가표준액,A,"주택 : 주택공시가격
건축물 :  건물시가표준액(지자체고시)",,,<< 주택공시가격,,,,,
공정시장가액비율,B,주택 : 60%,,,,,,,,
과세표준,가,A*B,,,,재산세율>,C,,,
,,,,,,과표범위,,,재산세율,기본누적금액
재산세율,C,,,,,0,~,60000000,0.001,
재산세,나,가*C,,,,60000000,~,150000000,0.0015,60000
도시지역분,다,가*0.14%,,,,150000000,~,300000000,0.0025,195000
지역자원시설세 시가표준액,라,,입력,,,300000000,~,,0.004,570000
지역자원시설세 과세표준,마,라*B,,,,,,,,
지역자원시설세 세율,D,,,,,지역자원시설세 세율>,D,,,
지역자원시설세 ,바,마*D,,,,과표범위,,,재산세율,기본누적금액
지방교육세,사,나*20%,,,,0,~,6000000,0.0004,
Total,아,나+다+바+사,,,,6000000,~,13000000,0.0005,2400
,,,,,,13000000,~,26000000,0.0006,5900
,,,,,,26000000,~,39000000,0.0008,13700
건출물>,,,건출물,,,39000000,~,64000000,0.001,24100
,,,,,,64000000,~,,0.0012,49100
과세대상구분,,"골프장, 고급오락장
주거지역 및 지정지역 내 공장용 건축물
기타건축물",체크박스,,,,,,,
시가표준액,A,"주택 : 주택공시가격
건축물 :  건물시가표준액(지자체고시)",,,,,,,,
공정시장가액비율,B,건축물: 70%,,,,,,,,
과세표준,가,A*B,,,,재산세율>,C,,,
,,,,,,구분,,재산세율,,
재산세율,C,,,,,"골프장, 고급오락장",,0.04,,
재산세,나,가*C,,,,주거지역 및 지정지역 내 공장용 건축물,,0.005,,
도시지역분,다,가*0.14%,,,,기타건출물,,0.0025,,
지역자원시설세 과세표준,라,A*B,,,,,,,,
지역자원시설세 세율,D,,,,,,,,,
지역자원시설세 ,마,라*D,,,,지역자원시설세 세율>,D,,,
지방교육세,바,나*20%,,,,과표범위,,,재산세율,기본누적금액
Total,사,나+다+마+바,,,,0,~,6000000,0.0004,
,,,,,,6000000,~,13000000,0.0005,2400
,,,,,,13000000,~,26000000,0.0006,5900
,,,,,,26000000,~,39000000,0.0008,13700
,,,,,,39000000,~,64000000,0.001,24100
,,,,,,64000000,~,,0.0012,49100
,,,,,,,,,,
,,,,,,특정건축물,,,,
,,,,,,"저유장, 주유소, 정유소, 유흥장, 극장, 4층이상 10층이하의 건축물 등 대통령령으로 정하는 화재위험 건축물 : 2배 중과",,,,
,,,,,,"대형마트, 복합상영관(상기 극장 제외), 백화점, 호텔, 11층 이상의 건축물 등 대통령령으로 정하는 대형 화재위험 건축물 : 3배 중과",,,,
,,,,,,,,,,
토지>,,,,,,,,,,
,,,,,,,,,,
과세대상구분,,"나대지 등 (종합합산과세)
사업용토지(별도합산과세)",체크박스,,,,,,,
시가표준액,A,토지: 개별공시지가,,,,,,,,
공정시장가액비율,B,토지: 70%,,,,,,,,
과세표준,가,A*B,,,,,,,,
,,,,,,,,,,
재산세율,C,,,,,재산세율>,C,,,
재산세,나,가*C,,,,나대지 등(총합합산과세),,,,
도시지역분,다,가*0.14%,,,,과표범위,,,재산세율,기본누적금액
지방교육세,라,나*20%,,,,0,~,50000000,0.002,
Total,마,나+다+라,,,,50000000,~,100000000,0.003,100000
,,,,,,100000000,~,,0.005,250000
,,,,,,,,,,
,,,,,,사업용토지(별도합산과세),,,,
,,,,,,과표범위,,,재산세율,기본누적금액
,,,,,,0,~,200000000,0.002,
,,,,,,200000000,~,100000000,0.003,400000
,,,,,,100000000,~,,0.004,2800000
