"주택임대차보호법 시행령 제10조, 11조",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
법,지역,조건이하,최우선변제액,category
1984. 06. 14 부터,서울특별시 및 직할시,3000000,3000000,Category1
,기타의 지역,2000000,2000000,Category2
1987. 12. 1부터,서울특별시 및 직할시,5000000,5000000,Category1
,기타의 지역,4000000,4000000,Category2
1990. 02. 19 부터,서울특별시 및 직할시,20000000,7000000,Category1
,기타의 지역,15000000,5000000,Category2
1995. 10. 19 부터,특별시 및 광역시(군지역 제외),30000000,12000000,Category3
,기타의 지역,20000000,8000000,Category4
2001. 09. 15 부터,수도권정비계획법에 따은 수도권 중 과밀억제권역,40000000,16000000,Category5
,광역시(군지역과 인천광역시지역 제외),35000000,14000000,Category6
,그 밖의 지역,30000000,12000000,Category7
2008. 08. 21 부터,수도권정비계획법에 따은 수도권 중 과밀억제권역,60000000,20000000,Category5
,광역시(군지역과 인천광역시지역 제외),50000000,17000000,Category6
,그 밖의 지역,40000000,14000000,Category7
2010. 07. 26 부터,서울특별시,75000000,25000000,Category8
,수도권정비계획법에 따른과밀억제권역(서울특별시제외),65000000,22000000,Category9
,"광역시(수도권정비계획법에 따른 과밀억제권역에 포함된 지역과 군지역 제외),안산시,용인시,김포시 및 광주시",55000000,19000000,Category10
,그 밖의 지역,40000000,14000000,Category11
2014. 01. 01부터,서울특별시,80000000,27000000,Category8
,수도권정비계획법에 따른과밀억제권역(서울특별시제외),60000000,20000000,Category9
,"광역시(수도권정비계획법에 따른 과밀억제권역에 포함된 지역과 군지역 제외),안산시,용인시,김포시 및 광주시",45000000,20000000,Category10
,그 밖의 지역,45000000,15000000,Category11
2016. 03. 31 부터,서울특별시,100000000,34000000,Category8
,수도권정비계획법에 따른과밀억제권역(서울특별시제외),80000000,27000000,Category9
,"광역시(수도권정비계획법에 따른 과밀억제권역에 포함된 지역과 군지역 제외)세종특별자치시,안산시,용인시,김포시 및 광주시",60000000,20000000,Category12
,그 밖의 지역,50000000,17000000,Category13
2018. 09. 18 부터,서울특별시,100000000,37000000,Category8
,"수도권정비계획법에 따른과밀억제권역(서울특별시제외),세종특별자치시,용인시 및 화성시",100000000,34000000,Category14
,"광역시(수도권정비계획법에 따른 과밀억제권역에 포함된 지역과 군지역 제외)안산시,김포시 및 광주시",60000000,20000000,Category15
,그 밖의 지역,50000000,17000000,Category16
2021.05.11 부터,서울특별시,150000000,50000000,Category8
,"수도권정비계획법에 따른과밀억제권역(서울특별시제외),세종특별자치시,용인시 및 화성시",130000000,43000000,Category14
,"광역시(수도권정비계획법에 따른 과밀억제권역에 포함된 지역과 군지역 제외)안산시,김포시 및 광주시",70000000,23000000,Category15
,그 밖의 지역,60000000,20000000,Category16
2023. 02. 21 부터,서울특별시,165000000,55000000,Category8
,"수도권정비계획법에 따른과밀억제권역(서울특별시제외),세종특별자치시,용인시 및 화성시",145000000,48000000,Category14
,"광역시(수도권정비계획법에 따른 과밀억제권역에 포함된 지역과 군지역 제외)안산시,김포시 및 광주시",85000000,28000000,Category15
,그 밖의 지역,75000000,25000000,Category16
,,,,
,,,,
Category1,"서울특별시, 부산광역시, 대구광역시, 인천광역시, 광주광역시, 대전광역시",,,
Category2,category1 외,,,
Category3,"서울특별시, 부산광역시, 대구광역시, 인천광역시, 광주광역시, 대전광역시, 울산광역시 (1997년 이후) 군제외",,,
Category4,caterory 3 외,,,
Category5," 서울특별시
· 인천광역시[강화군, 옹진군, 중구  운남동· 운북동·운서동·중산동· 남북동·덕교동·을왕동· 무의동, 서구  대곡동· 불노동·마전동·금곡동· 오류동·왕길동·당하동· 원당동, 연수구 송도매립지(인천광역 시장이  송도신시가지 조성을  위하여  1990년 11월  12일  송도앞 공유수면매립공사면허를 받은  지역을  말한다), 남동유치지역을
제외한다]
· 의정부시
· 구리시
· 남양주시(호평동, 평내동, 금곡동·일패동·이패동· 삼패동·가운동·수석동· 지금동, 도농동에 한한다)
· 하남시
· 고양시
· 수원시
· 성남시
· 안양시
· 부천시
· 광명시
· 과천시
· 의왕시
· 군포시
· 시흥시
(반월특수지역을  제외한다)",,,
Category6,"[부산광역시, 대전광역시, 울산광역시, 대구광역시, 광주광역시 중 군지역 제외]",,,
Category7,"category5,6 외 지역",,,
Category8,서울특별시,,,
Category9,"2. 인천광역시[강화군, 옹진군, 서구 대곡동ㆍ불로동ㆍ마전동ㆍ금곡동ㆍ오류동ㆍ왕길동ㆍ당하동ㆍ원당동, 인천경제자유구역(경제자유구역에서해제된 지역을 포함한다) 및 남동 국가산업단지는 제외한다] 3. 의정부시4. 구리시5. 남양주시(호평동, 평내동, 금곡동, 일패동, 이패동, 삼패동, 가운동, 수석동, 지금동 및 도농동만해당한다) 6. 하남시7. 고양시8. 수원시9. 성남시10. 안양시11. 부천시12. 광명시13. 과천시14. 의왕시15. 군포시16. 시흥시[반월특수지역(반월특수지역에서 해제된 지역을 포함한다)은제외한다]",,,
