차주No,차주명,안,시나리오,"1,2안 역전",Pool,Pool 검증,Description,Rate,Rate검증,OPB,OPB검증,할인율,할인율검증,연체이자율,Loan cap 여부,조기변제가능성,XNPV,XNPV검증,SUM,SUM검증,인터림금액,차이금액,사유,c-date보증서금액,인터림보증서(원금),차이,사유,2025-03-31 00:00:00,2025-04-30 00:00:00,2025-05-31 00:00:00,2025-06-30 00:00:00,2025-07-31 00:00:00,2025-08-31 00:00:00,2025-09-30 00:00:00,2025-10-31 00:00:00,2025-11-30 00:00:00,2025-12-31 00:00:00,2026-01-31 00:00:00,2026-02-28 00:00:00,2026-03-31 00:00:00,2026-04-30 00:00:00,2026-05-31 00:00:00,2026-06-30 00:00:00,2026-07-31 00:00:00,2026-08-31 00:00:00,2026-09-30 00:00:00,2026-10-31 00:00:00,2026-11-30 00:00:00,2026-12-31 00:00:00,2027-01-31 00:00:00,2027-02-28 00:00:00,2027-03-31 00:00:00,2027-04-30 00:00:00,2027-05-31 00:00:00,2027-06-30 00:00:00,2027-07-31 00:00:00,2027-08-31 00:00:00,2027-09-30 00:00:00,2027-10-31 00:00:00,2027-11-30 00:00:00,2027-12-31 00:00:00,2028-01-31 00:00:00,2028-02-29 00:00:00,2028-03-31 00:00:00,2028-04-30 00:00:00,2028-05-31 00:00:00,2028-06-30 00:00:00,2028-07-31 00:00:00,2028-08-31 00:00:00,2028-09-30 00:00:00,2028-10-31 00:00:00,2028-11-30 00:00:00,2028-12-31 00:00:00,2029-01-31 00:00:00,2029-02-28 00:00:00,2029-03-31 00:00:00,2029-04-30 00:00:00,2029-05-31 00:00:00,2029-06-30 00:00:00,2029-07-31 00:00:00,2029-08-31 00:00:00,2029-09-30 00:00:00,2029-10-31 00:00:00,2029-11-30 00:00:00,2029-12-31 00:00:00,2030-01-31 00:00:00,2030-02-28 00:00:00,2030-03-31 00:00:00,2030-04-30 00:00:00,2030-05-31 00:00:00,2030-06-30 00:00:00,2030-07-31 00:00:00,2030-08-31 00:00:00,2030-09-30 00:00:00,2030-10-31 00:00:00,2030-11-30 00:00:00,2030-12-31 00:00:00,2031-01-31 00:00:00,2031-02-28 00:00:00,2031-03-31 00:00:00,2031-04-30 00:00:00,2031-05-31 00:00:00,2031-06-30 00:00:00,2031-07-31 00:00:00,2031-08-31 00:00:00,2031-09-30 00:00:00,2031-10-31 00:00:00,2031-11-30 00:00:00,2031-12-31 00:00:00,2032-01-31 00:00:00,2032-02-29 00:00:00,2032-03-31 00:00:00,2032-04-30 00:00:00,2032-05-31 00:00:00,2032-06-30 00:00:00,2032-07-31 00:00:00,2032-08-31 00:00:00,2032-09-30 00:00:00,2032-10-31 00:00:00,2032-11-30 00:00:00,2032-12-31 00:00:00,2033-01-31 00:00:00,2033-02-28 00:00:00,2033-03-31 00:00:00,2033-04-30 00:00:00,2033-05-31 00:00:00,2033-06-30 00:00:00,2033-07-31 00:00:00,2033-08-31 00:00:00,2033-09-30 00:00:00,2033-10-31 00:00:00,2033-11-30 00:00:00,2033-12-31 00:00:00,2034-01-31 00:00:00,2034-02-28 00:00:00,2034-03-31 00:00:00,2034-04-30 00:00:00,2034-05-31 00:00:00,2034-06-30 00:00:00,2034-07-31 00:00:00,2034-08-31 00:00:00,2034-09-30 00:00:00,2034-10-31 00:00:00,2034-11-30 00:00:00,2034-12-31 00:00:00,2035-01-31 00:00:00,2035-02-28 00:00:00,2035-03-31 00:00:00
R-030,나모테크,R-030-1안,1안,,A,ok,"경매진행중인바,  경매 Flow에 의한 낙찰 가정함",0.8503571066323945,True,3204362755,True,0.12,OK,0.08799637726821377,,N,2724852640.9424086,True,2918994481.21051,True,-784300,-1237745514.4426715,대위변체 추정,1219320000,0,-1219320000,대위변체 추정,1236961214.4426715,0,0,0,0,0,0,0,0,0,0,0,0,1682033266.7678382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-030,나모테크,R-030-2안,2안,이상없음,A,ok,"경매진행중인바,  경매 Flow에 의한 낙찰 가정함",0.8641763698266927,True,3204362755,True,0.12,OK,0.08799637726821377,,N,2769134573.2237597,True,2969054372.6027308,True,-784300,-1237745514.4426715,대위변체 추정,1219320000,0,-1219320000,대위변체 추정,1236961214.4426715,0,0,0,0,0,0,0,0,0,0,0,0,1732093158.1600595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-031,봄디자인,R-031-1안,1안,,A,ok,"현재 경매진행중인바, 경매를 통한 회수를 가정함.",0.7362937417809733,True,3225812792,True,0.12,OK,0.08823893821852509,,N,2375145770.9066086,True,2562077012.9719887,True,0,0,,0,0,0,,0,0,0,0,0,0,0,0,2562077012.9719887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-031,봄디자인,R-031-2안,2안,이상없음,A,ok,"현재 경매진행중인바, 경매를 통한 회수를 가정함.",0.7635903845199722,True,3225812792,True,0.12,OK,0.08823893821852509,,N,2463199630.232725,True,2657060980.5441346,True,0,0,,0,0,0,,0,0,0,0,0,0,0,0,2657060980.5441346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-049,한신에스텍,R-049-1안,1안,,A,ok,"현재 경매진행중인바, 경매를 통한 회수를 가정함.",0.6163619597841072,True,2200636350,True,0.12,OK,0.09155654834761322,,N,1356388533.4581444,True,1491918926.3023777,True,-3407700,0,,0,0,0,,-3407700,0,0,0,0,0,0,0,0,0,1495326626.3023777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-049,한신에스텍,R-049-2안,2안,이상없음,A,ok,"현재 경매진행중인바, 경매를 통한 회수를 가정함.",0.6384064818141982,True,2200636350,True,0.12,OK,0.09155654834761322,,N,1404900509.9559386,True,1545266073.7402143,True,-3407700,0,,0,0,0,,-3407700,0,0,0,0,0,0,0,0,0,1548673773.7402143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-050,대한도장,R-050-1안,1안,,A,ok,"현재 경매진행중인바, 경매를 통한 회수를 가정함.",0.84591742694577,True,2167609790,True,0.12,OK,0.080975,,N,1833618896.1792607,True,2012254964.1834497,True,570412606.515,0,,577500000,577500000,0,,570412606.515,0,0,0,0,0,0,0,0,0,0,0,0,0,1441842357.6684499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-050,대한도장,R-050-2안,2안,이상없음,A,ok,"현재 경매진행중인바, 경매를 통한 회수를 가정함.",0.8661044462257728,True,2167609790,True,0.12,OK,0.080975,,N,1877376476.8015137,True,2062200514.4284735,True,570412606.515,0,,577500000,577500000,0,,570412606.515,0,0,0,0,0,0,0,0,0,0,0,0,0,1491787907.9134736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,,0,pool 고치세요,0,0,,0,,0,검토요,0,0,0,0,,0,True,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,이상없음,0,pool 고치세요,0,0,,0,,0,검토요,0,0,0,0,,0,True,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
